Matrix,Mode,ChunkSize,Threads,Time_ms
af23560.mtx,seq,NA,1,0.477076
af23560.mtx,static,1,1,0.455141
af23560.mtx,static,1,2,1.632929
af23560.mtx,static,1,4,1.486063
af23560.mtx,static,1,8,0.678062
af23560.mtx,static,1,16,0.501871
af23560.mtx,static,1,32,0.376940
af23560.mtx,static,1,64,0.269890
af23560.mtx,static,10,1,0.480175
af23560.mtx,static,10,2,1.028061
af23560.mtx,static,10,4,0.754833
af23560.mtx,static,10,8,0.438929
af23560.mtx,static,10,16,0.255108
af23560.mtx,static,10,32,0.169992
af23560.mtx,static,10,64,0.138998
af23560.mtx,static,100,1,0.471115
af23560.mtx,static,100,2,0.808954
af23560.mtx,static,100,4,0.457048
af23560.mtx,static,100,8,0.247002
af23560.mtx,static,100,16,0.155926
af23560.mtx,static,100,32,0.140190
af23560.mtx,static,100,64,9.527922
af23560.mtx,static,1000,1,0.447989
af23560.mtx,static,1000,2,0.771046
af23560.mtx,static,1000,4,0.401020
af23560.mtx,static,1000,8,0.231028
af23560.mtx,static,1000,16,0.145912
af23560.mtx,static,1000,32,0.144005
af23560.mtx,static,1000,64,9.539843
af23560.mtx,dynamic,1,1,1.002789
af23560.mtx,dynamic,1,2,1.713037
af23560.mtx,dynamic,1,4,4.415989
af23560.mtx,dynamic,1,8,4.811049
af23560.mtx,dynamic,1,16,3.735065
af23560.mtx,dynamic,1,32,3.103018
af23560.mtx,dynamic,1,64,2.629995
af23560.mtx,dynamic,10,1,0.542879
af23560.mtx,dynamic,10,2,1.568794
af23560.mtx,dynamic,10,4,0.987053
af23560.mtx,dynamic,10,8,0.725031
af23560.mtx,dynamic,10,16,0.487089
af23560.mtx,dynamic,10,32,0.367880
af23560.mtx,dynamic,10,64,0.324011
af23560.mtx,dynamic,100,1,0.464916
af23560.mtx,dynamic,100,2,0.505924
af23560.mtx,dynamic,100,4,0.298023
af23560.mtx,dynamic,100,8,0.226974
af23560.mtx,dynamic,100,16,0.139952
af23560.mtx,dynamic,100,32,0.165939
af23560.mtx,dynamic,100,64,0.127077
af23560.mtx,dynamic,1000,1,0.460863
af23560.mtx,dynamic,1000,2,0.380993
af23560.mtx,dynamic,1000,4,0.288010
af23560.mtx,dynamic,1000,8,0.202179
af23560.mtx,dynamic,1000,16,0.164032
af23560.mtx,dynamic,1000,32,0.318050
af23560.mtx,dynamic,1000,64,0.251055
af23560.mtx,guided,1,1,0.479937
af23560.mtx,guided,1,2,0.706911
af23560.mtx,guided,1,4,0.397921
af23560.mtx,guided,1,8,0.239849
af23560.mtx,guided,1,16,0.184059
af23560.mtx,guided,1,32,0.244141
af23560.mtx,guided,1,64,0.513077
af23560.mtx,guided,10,1,0.915051
af23560.mtx,guided,10,2,0.774860
af23560.mtx,guided,10,4,0.366926
af23560.mtx,guided,10,8,0.221968
af23560.mtx,guided,10,16,0.148058
af23560.mtx,guided,10,32,0.188112
af23560.mtx,guided,10,64,0.382900
af23560.mtx,guided,100,1,0.453949
af23560.mtx,guided,100,2,0.793934
af23560.mtx,guided,100,4,0.387907
af23560.mtx,guided,100,8,0.228167
af23560.mtx,guided,100,16,0.124931
af23560.mtx,guided,100,32,0.147104
af23560.mtx,guided,100,64,0.224113
af23560.mtx,guided,1000,1,0.455141
af23560.mtx,guided,1000,2,0.545979
af23560.mtx,guided,1000,4,0.409126
af23560.mtx,guided,1000,8,0.214815
af23560.mtx,guided,1000,16,0.165939
af23560.mtx,guided,1000,32,0.323057
af23560.mtx,guided,1000,64,9.558916
twotone.mtx,seq,NA,1,1.448870
twotone.mtx,static,1,1,1.329899
twotone.mtx,static,1,2,5.202055
twotone.mtx,static,1,4,3.798962
twotone.mtx,static,1,8,2.383947
twotone.mtx,static,1,16,1.302004
twotone.mtx,static,1,32,0.972033
twotone.mtx,static,1,64,0.670910
twotone.mtx,static,10,1,1.320124
twotone.mtx,static,10,2,2.722979
twotone.mtx,static,10,4,1.966953
twotone.mtx,static,10,8,1.363993
twotone.mtx,static,10,16,0.849009
twotone.mtx,static,10,32,0.504971
twotone.mtx,static,10,64,9.671926
twotone.mtx,static,100,1,1.358032
twotone.mtx,static,100,2,1.796007
twotone.mtx,static,100,4,1.483917
twotone.mtx,static,100,8,0.764132
twotone.mtx,static,100,16,0.389099
twotone.mtx,static,100,32,0.285149
twotone.mtx,static,100,64,0.423193
twotone.mtx,static,1000,1,1.330137
twotone.mtx,static,1000,2,2.079964
twotone.mtx,static,1000,4,1.155853
twotone.mtx,static,1000,8,0.638962
twotone.mtx,static,1000,16,0.398159
twotone.mtx,static,1000,32,0.228882
twotone.mtx,static,1000,64,9.541035
twotone.mtx,dynamic,1,1,3.505945
twotone.mtx,dynamic,1,2,19.896030
twotone.mtx,dynamic,1,4,17.455101
twotone.mtx,dynamic,1,8,14.989138
twotone.mtx,dynamic,1,16,11.094093
twotone.mtx,dynamic,1,32,10.504007
twotone.mtx,dynamic,1,64,9.440899
twotone.mtx,dynamic,10,1,1.549006
twotone.mtx,dynamic,10,2,5.103827
twotone.mtx,dynamic,10,4,4.245996
twotone.mtx,dynamic,10,8,2.696991
twotone.mtx,dynamic,10,16,1.914978
twotone.mtx,dynamic,10,32,1.253843
twotone.mtx,dynamic,10,64,1.151800
twotone.mtx,dynamic,100,1,1.357794
twotone.mtx,dynamic,100,2,1.713037
twotone.mtx,dynamic,100,4,1.044035
twotone.mtx,dynamic,100,8,0.653028
twotone.mtx,dynamic,100,16,0.427008
twotone.mtx,dynamic,100,32,0.329971
