Matrix,Processes,T_Comm,T_Comp,Tot_Time,GFLOPS,Mem_MB,NZ_Min,NZ_Max,NZ_Avg,Volume_MB
venkat25.mtx,1,0.002146,4.809856,4.812002,0.714280,20.372959,1717792,1717792,1717792.000000,0.000000
venkat25.mtx,2,3.057003,2.445936,5.502939,1.404609,20.372963,858896,858896,858896.000000,3.276428
venkat25.mtx,4,2.200603,1.245975,3.446579,2.757345,20.372971,429448,429448,429448.000000,2.457321
venkat25.mtx,8,1.458526,1.043177,2.501702,3.293387,20.372986,214564,214884,214724.000000,1.407158
venkat25.mtx,16,0.653315,0.481200,1.134515,7.139614,20.373016,107064,107576,107362.000000,0.748764
venkat25.mtx,32,0.390148,0.214100,0.604248,16.046641,20.373077,53504,53848,53681.000000,0.385674
venkat25.mtx,64,0.433373,0.116205,0.549579,29.564800,20.373199,26676,26976,26840.500000,0.195808
venkat25.mtx,128,5.386662,1.087546,6.474209,3.159023,20.373444,13320,13524,13420.250000,0.098969
atmosmodl.mtx,1,0.004053,30.182862,30.186915,0.683816,135.149143,10319760,10319760,10319760.000000,0.000000
atmosmodl.mtx,2,9.068966,15.503025,24.571991,1.331322,135.149147,5159880,5159880,5159880.000000,11.308502
atmosmodl.mtx,4,10.424709,7.688046,18.112755,2.684625,135.149155,2579940,2579940,2579940.000000,11.308502
atmosmodl.mtx,8,8.801031,4.205084,13.006115,4.908230,135.149170,1289970,1289970,1289970.000000,8.420952
atmosmodl.mtx,16,6.027055,2.789116,8.816171,7.400022,135.149200,644983,644987,644985.000000,4.210487
atmosmodl.mtx,32,5.689216,4.280210,9.969425,4.822082,135.149261,322489,322494,322492.500000,2.105247
atmosmodl.mtx,64,5.019760,6.010461,11.030221,3.433933,135.149384,161244,161250,161246.250000,1.052643
atmosmodl.mtx,128,18.959856,2.967024,21.926880,6.956304,135.149628,80619,80625,80623.125000,0.526321
rajat31.mtx,1,0.004053,65.661263,65.665317,0.618820,286.173882,20316253,20316253,20316253.000000,0.000000
rajat31.mtx,2,65.218353,45.703149,110.921502,0.889053,286.173885,10157502,10158751,10158126.500000,35.767563
rajat31.mtx,4,24.162126,20.525193,44.687319,1.979641,286.173893,5078127,5079377,5079063.250000,21.936897
rajat31.mtx,8,15.305829,12.288165,27.593994,3.306637,286.173908,2539063,2540312,2539531.625000,11.447685
rajat31.mtx,16,12.537241,8.672476,21.209717,4.685226,286.173939,1269530,1270780,1269765.812500,7.333176
rajat31.mtx,32,10.085320,9.425068,19.510388,4.311110,286.174000,634762,636016,634882.906250,3.666603
rajat31.mtx,64,9.249067,12.907267,22.156334,3.148033,286.174122,317377,318632,317441.453125,1.833321
rajat31.mtx,128,30.800366,9.046006,39.846373,4.491762,286.174366,158686,159937,158720.726562,0.940750
circuit5M.mtx,1,0.004053,174.035072,174.039125,0.684049,744.811447,59524291,59524291,59524291.000000,0.000000
circuit5M.mtx,2,168.847013,102.503014,271.350026,1.161415,744.811451,29633872,29890419,29762145.500000,102.978127
circuit5M.mtx,4,129.656124,56.170201,185.826325,2.119426,744.811459,14366848,15429190,14881072.750000,79.307869
circuit5M.mtx,8,84.765410,33.980298,118.745708,3.503459,744.811474,6574376,7879388,7440536.375000,47.556572
circuit5M.mtx,16,42.145586,24.288917,66.434503,4.901354,744.811504,3047741,4431839,3720268.187500,28.874374
circuit5M.mtx,32,42.878556,32.991362,75.869918,3.608477,744.811565,1518490,2822144,1860134.093750,19.345543
circuit5M.mtx,64,47.326779,32.075357,79.402137,3.711528,744.811687,758572,2056401,930067.046875,14.658249
circuit5M.mtx,128,267.008781,27.187371,294.196153,4.378819,744.811932,378523,1675594,465033.523438,12.283043
cage15.mtx,1,0.005007,302.926373,302.931380,0.654942,1194.241451,99199551,99199551,99199551.000000,0.000000
cage15.mtx,2,130.812716,240.433788,371.246505,0.825171,1194.241455,49599206,49600345,49599775.500000,79.062637
cage15.mtx,4,124.402666,163.055897,287.458563,1.216755,1194.241463,24726258,24872948,24799887.750000,76.802422
cage15.mtx,8,94.666338,105.137372,199.803710,1.887046,1194.241478,12360265,12439368,12399943.875000,53.081528
cage15.mtx,16,43.360138,65.840316,109.200454,3.013338,1194.241508,6179191,6221692,6199971.937500,31.692879
cage15.mtx,32,41.915822,47.028399,88.944221,4.218708,1194.241570,3088388,3112621,3099985.968750,17.776886
cage15.mtx,64,44.558024,39.688706,84.246731,4.998881,1194.241692,1543934,1556505,1549992.984375,9.652565
cage15.mtx,128,201.464224,40.464497,241.928720,4.903041,1194.241936,771656,778405,774996.492188,5.112846
