Matrix,Processes,T_Comm,T_Comp,GFLOPS,Mem_MB,NZ_Min,NZ_Max,NZ_Avg,Volume_MB
venkat25.mtx,1,0.472212,3.298807,0.001041,20.849216,1717792,1717792,1717792.000000,0.000000
venkat25.mtx,2,0.762725,1.611757,0.002132,10.662739,858896,858896,858896.000000,0.238129
venkat25.mtx,4,0.967884,0.832415,0.004127,5.569500,429448,429448,429448.000000,0.357193
venkat25.mtx,8,1.094007,0.444555,0.007728,3.024712,214564,214884,214724.000000,0.416725
venkat25.mtx,16,1.228714,0.235510,0.014588,1.752026,107064,107576,107362.000000,0.446495
venkat25.mtx,32,1.384401,0.131655,0.026095,1.114830,53504,53848,53681.000000,0.461380
venkat25.mtx,64,1.902103,0.083017,0.041384,0.796135,26676,26976,26840.500000,0.468819
venkat25.mtx,128,22.290063,0.066614,0.051574,0.636616,13320,13524,13420.250000,0.472542
atmosmodl.mtx,1,6.850576,25.794029,0.000800,146.515049,10319760,10319760,10319760.000000,0.000000
atmosmodl.mtx,2,10.274529,14.045429,0.001469,78.940479,5159880,5159880,5159880.000000,5.682953
atmosmodl.mtx,4,12.329936,8.019781,0.002574,45.153194,2579940,2579940,2579940.000000,8.524429
atmosmodl.mtx,8,17.766500,5.728817,0.003603,28.259552,1289970,1289970,1289970.000000,9.945168
atmosmodl.mtx,16,27.256322,5.188751,0.003978,19.812759,644983,644987,644985.000000,10.655540
atmosmodl.mtx,32,44.956660,4.809284,0.004292,15.589340,322489,322494,322492.500000,11.010727
atmosmodl.mtx,64,85.762405,6.040621,0.003417,13.477665,161244,161250,161246.250000,11.188316
atmosmodl.mtx,128,155.146694,9.994078,0.002065,12.421787,80619,80625,80623.125000,11.277115
rajat31.mtx,1,27.158260,67.434216,0.000603,321.955757,20316253,20316253,20316253.000000,0.000000
rajat31.mtx,2,41.515112,38.093710,0.001067,178.875965,10157502,10158751,10158126.500000,17.890938
rajat31.mtx,4,56.333017,27.219868,0.001493,107.328945,5078127,5079377,5079063.250000,26.836411
rajat31.mtx,8,73.413610,19.755220,0.002057,71.562542,2539063,2540312,2539531.625000,31.309143
rajat31.mtx,16,100.955486,13.793325,0.002946,53.679352,1269530,1270780,1269765.812500,33.545509
rajat31.mtx,32,169.937229,11.395216,0.003566,44.737785,634762,636016,634882.906250,34.663696
rajat31.mtx,64,318.880820,14.746666,0.002755,40.266968,317377,318632,317441.453125,35.222786
rajat31.mtx,128,720.555162,51.632357,0.000787,38.031525,158686,159937,158720.726562,35.502335
circuit5M.mtx,1,31.410480,168.112659,0.000708,787.218109,59524291,59524291,59524291.000000,0.000000
circuit5M.mtx,2,47.756386,92.018414,0.001294,416.280361,29633872,29890419,29762145.500000,21.203331
circuit5M.mtx,4,66.775084,56.334019,0.002113,234.882236,14366848,15429190,14881072.750000,31.805000
circuit5M.mtx,8,88.780546,41.205502,0.002889,140.530357,6574376,7879388,7440536.375000,37.105835
circuit5M.mtx,16,124.366188,32.341623,0.003681,97.100670,3047741,4431839,3720268.187500,39.756248
circuit5M.mtx,32,209.924078,23.975325,0.004965,76.691345,1518490,2822144,1860134.093750,41.081459
circuit5M.mtx,64,376.648545,20.688391,0.005754,66.934204,758572,2056401,930067.046875,41.744064
circuit5M.mtx,128,913.915348,67.860746,0.001754,62.079266,378523,1675594,465033.523438,42.075363
cage15.mtx,1,29.256129,276.931810,0.000716,1233.569904,99199551,99199551,99199551.000000,0.000000
cage15.mtx,2,44.152784,142.371130,0.001394,636.455692,49599206,49600345,49599775.500000,19.664230
cage15.mtx,4,59.069753,81.012058,0.002449,338.724930,24726258,24872948,24799887.750000,29.496346
cage15.mtx,8,77.445173,55.393934,0.003582,189.059807,12360265,12439368,12399943.875000,34.412399
cage15.mtx,16,117.945218,44.363546,0.004472,114.217106,6179191,6221692,6199971.937500,36.870430
cage15.mtx,32,186.753368,36.897993,0.005377,76.793095,3088388,3112621,3099985.968750,38.099442
cage15.mtx,64,342.665100,49.117470,0.004039,58.063007,1543934,1556505,1549992.984375,38.713951
cage15.mtx,128,711.245537,104.385185,0.001901,48.697472,771656,778405,774996.492188,39.021202
