Matrix,Processes,T_Comm,T_Comp,GFLOPS,Mem_MB,NZ_Min,NZ_Max,NZ_Avg,Volume_MB
venkat25.mtx,1,0.001621,10.751343,0.000320,20.849216,1717792,1717792,1717792.000000,0.000000
venkat25.mtx,2,2.955198,5.178547,0.000663,10.424610,858896,858896,858896.000000,0.238129
venkat25.mtx,4,2.426648,2.699995,0.001272,5.212307,429448,429448,429448.000000,0.357193
venkat25.mtx,8,1.307392,1.991796,0.001725,2.607986,214564,214884,214724.000000,0.416725
venkat25.mtx,16,0.875568,0.925350,0.003713,1.305538,107064,107576,107362.000000,0.446495
venkat25.mtx,32,0.657177,0.487995,0.007040,0.653458,53504,53848,53681.000000,0.461380
venkat25.mtx,64,0.651741,0.266027,0.012914,0.327316,26676,26976,26840.500000,0.468819
venkat25.mtx,128,3.933001,0.763893,0.004497,0.164082,13320,13524,13420.250000,0.472542
atmosmodl.mtx,1,0.002956,63.408995,0.000325,146.515049,10319760,10319760,10319760.000000,0.000000
atmosmodl.mtx,2,10.537982,33.129835,0.000623,73.257526,5159880,5159880,5159880.000000,5.682953
atmosmodl.mtx,4,10.936165,16.381216,0.001260,36.628765,2579940,2579940,2579940.000000,8.524429
atmosmodl.mtx,8,9.051299,8.828115,0.002338,18.314384,1289970,1289970,1289970.000000,9.945168
atmosmodl.mtx,16,4.871774,4.911804,0.004202,9.157227,644983,644987,644985.000000,10.655540
atmosmodl.mtx,32,3.098941,4.491425,0.004595,4.578621,322489,322494,322492.500000,11.010727
atmosmodl.mtx,64,2.308607,6.072330,0.003399,2.289356,161244,161250,161246.250000,11.188316
atmosmodl.mtx,128,15.436172,7.556391,0.002731,1.144680,80619,80625,80623.125000,11.277115
rajat31.mtx,1,0.003028,137.895393,0.000295,321.955757,20316253,20316253,20316253.000000,0.000000
rajat31.mtx,2,60.425091,98.254967,0.000414,160.985027,10157502,10158751,10158126.500000,17.890938
rajat31.mtx,4,27.331877,48.668385,0.000835,80.492542,5078127,5079377,5079063.250000,26.836411
rajat31.mtx,8,15.059423,27.023554,0.001504,40.253399,2539063,2540312,2539531.625000,31.309143
rajat31.mtx,16,9.834266,16.202784,0.002508,20.133842,1269530,1270780,1269765.812500,33.545509
rajat31.mtx,32,6.345487,11.409521,0.003561,10.074097,634762,636016,634882.906250,34.663696
rajat31.mtx,64,5.479574,10.950994,0.003710,5.044182,317377,318632,317441.453125,35.222786
rajat31.mtx,128,24.223995,12.022781,0.003380,2.529190,158686,159937,158720.726562,35.502335
circuit5M.mtx,1,0.004911,373.180771,0.000319,787.218109,59524291,59524291,59524291.000000,0.000000
circuit5M.mtx,2,159.275150,240.967703,0.000494,395.077030,29633872,29890419,29762145.500000,21.203331
circuit5M.mtx,4,125.627279,129.042959,0.000923,203.077244,14366848,15429190,14881072.750000,31.805000
circuit5M.mtx,8,73.581004,76.100206,0.001564,103.424530,6574376,7879388,7440536.375000,37.105835
circuit5M.mtx,16,35.483193,48.437643,0.002458,57.344429,3047741,4431839,3720268.187500,39.756248
circuit5M.mtx,32,31.143689,46.800375,0.002544,35.609886,1518490,2822144,1860134.093750,41.081459
circuit5M.mtx,64,33.749700,44.861698,0.002654,25.190140,758572,2056401,930067.046875,41.744064
circuit5M.mtx,128,128.164792,39.749575,0.002995,20.003902,378523,1675594,465033.523438,42.075363
cage15.mtx,1,0.003433,667.485762,0.000297,1233.569904,99199551,99199551,99199551.000000,0.000000
cage15.mtx,2,123.316431,513.560009,0.000386,616.791462,49599206,49600345,49599775.500000,19.664230
cage15.mtx,4,123.459935,354.576254,0.000560,309.228592,24726258,24872948,24799887.750000,29.496346
cage15.mtx,8,83.778596,227.609491,0.000872,154.647408,12360265,12439368,12399943.875000,34.412399
cage15.mtx,16,38.064694,139.778376,0.001419,77.346676,6179191,6221692,6199971.937500,36.870430
cage15.mtx,32,26.195192,86.353588,0.002298,38.693653,3088388,3112621,3099985.968750,38.099442
cage15.mtx,64,24.855185,57.019091,0.003480,19.349064,1543934,1556505,1549992.984375,38.713951
cage15.mtx,128,161.801577,52.886391,0.003751,9.676270,771656,778405,774996.492188,39.021202
