Matrix,Mode,ChunkSize,Threads,Cycles,Instructions,CacheMisses,CacheRefs,LLCMisses
af23560.mtx,seq,NA,1,,,,,
af23560.mtx,static,1,1,,,,,
af23560.mtx,static,1,2,,,,,
af23560.mtx,static,1,4,,,,,
af23560.mtx,static,1,8,,,,,
af23560.mtx,static,1,16,,,,,
af23560.mtx,static,1,32,,,,,
af23560.mtx,static,1,64,,,,,
af23560.mtx,static,10,1,,,,,
af23560.mtx,static,10,2,,,,,
af23560.mtx,static,10,4,,,,,
af23560.mtx,static,10,8,,,,,
af23560.mtx,static,10,16,,,,,
af23560.mtx,static,10,32,,,,,
af23560.mtx,static,10,64,,,,,
af23560.mtx,static,100,1,,,,,
af23560.mtx,static,100,2,,,,,
af23560.mtx,static,100,4,,,,,
af23560.mtx,static,100,8,,,,,
af23560.mtx,static,100,16,,,,,
af23560.mtx,static,100,32,,,,,
af23560.mtx,static,100,64,,,,,
af23560.mtx,static,1000,1,,,,,
af23560.mtx,static,1000,2,,,,,
af23560.mtx,static,1000,4,,,,,
af23560.mtx,static,1000,8,,,,,
af23560.mtx,static,1000,16,,,,,
af23560.mtx,static,1000,32,,,,,
af23560.mtx,static,1000,64,,,,,
af23560.mtx,static,10000,1,,,,,
af23560.mtx,static,10000,2,,,,,
af23560.mtx,static,10000,4,,,,,
af23560.mtx,static,10000,8,,,,,
af23560.mtx,static,10000,16,,,,,
af23560.mtx,static,10000,32,,,,,
af23560.mtx,static,10000,64,,,,,
af23560.mtx,dynamic,1,1,,,,,
af23560.mtx,dynamic,1,2,,,,,
af23560.mtx,dynamic,1,4,,,,,
af23560.mtx,dynamic,1,8,,,,,
af23560.mtx,dynamic,1,16,,,,,
af23560.mtx,dynamic,1,32,,,,,
af23560.mtx,dynamic,1,64,,,,,
af23560.mtx,dynamic,10,1,,,,,
af23560.mtx,dynamic,10,2,,,,,
af23560.mtx,dynamic,10,4,,,,,
af23560.mtx,dynamic,10,8,,,,,
af23560.mtx,dynamic,10,16,,,,,
af23560.mtx,dynamic,10,32,,,,,
af23560.mtx,dynamic,10,64,,,,,
af23560.mtx,dynamic,100,1,,,,,
af23560.mtx,dynamic,100,2,,,,,
af23560.mtx,dynamic,100,4,,,,,
af23560.mtx,dynamic,100,8,,,,,
af23560.mtx,dynamic,100,16,,,,,
af23560.mtx,dynamic,100,32,,,,,
af23560.mtx,dynamic,100,64,,,,,
af23560.mtx,dynamic,1000,1,,,,,
af23560.mtx,dynamic,1000,2,,,,,
af23560.mtx,dynamic,1000,4,,,,,
af23560.mtx,dynamic,1000,8,,,,,
af23560.mtx,dynamic,1000,16,,,,,
af23560.mtx,dynamic,1000,32,,,,,
af23560.mtx,dynamic,1000,64,,,,,
af23560.mtx,dynamic,10000,1,,,,,
af23560.mtx,dynamic,10000,2,,,,,
af23560.mtx,dynamic,10000,4,,,,,
af23560.mtx,dynamic,10000,8,,,,,
af23560.mtx,dynamic,10000,16,,,,,
af23560.mtx,dynamic,10000,32,,,,,
af23560.mtx,dynamic,10000,64,,,,,
af23560.mtx,guided,1,1,,,,,
af23560.mtx,guided,1,2,,,,,
af23560.mtx,guided,1,4,,,,,
af23560.mtx,guided,1,8,,,,,
af23560.mtx,guided,1,16,,,,,
af23560.mtx,guided,1,32,,,,,
af23560.mtx,guided,1,64,,,,,
af23560.mtx,guided,10,1,,,,,
af23560.mtx,guided,10,2,,,,,
af23560.mtx,guided,10,4,,,,,
af23560.mtx,guided,10,8,,,,,
af23560.mtx,guided,10,16,,,,,
af23560.mtx,guided,10,32,,,,,
af23560.mtx,guided,10,64,,,,,
af23560.mtx,guided,100,1,,,,,
af23560.mtx,guided,100,2,,,,,
af23560.mtx,guided,100,4,,,,,
af23560.mtx,guided,100,8,,,,,
af23560.mtx,guided,100,16,,,,,
af23560.mtx,guided,100,32,,,,,
af23560.mtx,guided,100,64,,,,,
af23560.mtx,guided,1000,1,,,,,
af23560.mtx,guided,1000,2,,,,,
af23560.mtx,guided,1000,4,,,,,
af23560.mtx,guided,1000,8,,,,,
af23560.mtx,guided,1000,16,,,,,
af23560.mtx,guided,1000,32,,,,,
af23560.mtx,guided,1000,64,,,,,
af23560.mtx,guided,10000,1,,,,,
af23560.mtx,guided,10000,2,,,,,
af23560.mtx,guided,10000,4,,,,,
af23560.mtx,guided,10000,8,,,,,
af23560.mtx,guided,10000,16,,,,,
af23560.mtx,guided,10000,32,,,,,
af23560.mtx,guided,10000,64,,,,,
