Matrix,Mode,ChunkSize,Threads,Cycles,Instructions,CacheMisses,CacheRefs,LLCMisses
Freescale1.mtx,seq,NA,1,2.82928e+10,6.81052e+10,3.22146e+07,6.27801e+07,678595
Freescale1.mtx,static,1,1,2.82786e+10,6.81052e+10,3.22539e+07,6.27729e+07,677647
Freescale1.mtx,static,1,2,28416869627,6.81123e+10,3.22848e+07,6.31319e+07,726613
Freescale1.mtx,static,1,4,2.85265e+10,68126009335,3.23658e+07,6.32748e+07,727304
Freescale1.mtx,static,1,8,2.87756e+10,6.81534e+10,3.23114e+07,6.30454e+07,720922
Freescale1.mtx,static,1,16,2.93801e+10,6.82022e+10,32432046,6.2561e+07,762178
Freescale1.mtx,static,1,32,3.16122e+10,6.82899e+10,3.24327e+07,6.2545e+07,783598
Freescale1.mtx,static,1,64,43409185919,68505086228,3.23033e+07,6.24748e+07,793416
Freescale1.mtx,static,10,1,28319555795,6.81052e+10,32257941,6.28994e+07,681878
Freescale1.mtx,static,10,2,2.84029e+10,6.81121e+10,32263298,6.31358e+07,725486
Freescale1.mtx,static,10,4,2.86524e+10,6.81258e+10,3.23844e+07,6.31198e+07,733555
Freescale1.mtx,static,10,8,2.87594e+10,68152050053,3.21647e+07,6.28238e+07,719981
Freescale1.mtx,static,10,16,2.94586e+10,6.82067e+10,3.24835e+07,6.2641e+07,767415
Freescale1.mtx,static,10,32,3.23086e+10,68295127458,32443314,6.25876e+07,786965
Freescale1.mtx,static,10,64,4.43873e+10,6.85102e+10,3.25346e+07,6.25575e+07,802193
Freescale1.mtx,static,100,1,2.82905e+10,6.81052e+10,3.22814e+07,6.28746e+07,679958
Freescale1.mtx,static,100,2,2.84025e+10,68112056740,3.23134e+07,6.31103e+07,722873
Freescale1.mtx,static,100,4,2.85216e+10,6.81259e+10,3.23591e+07,6.31247e+07,731404
Freescale1.mtx,static,100,8,28777057598,6.8153e+10,32233971,63016680,723586
Freescale1.mtx,static,100,16,2.92422e+10,6.81954e+10,3.22657e+07,6.25338e+07,757220
Freescale1.mtx,static,100,32,3.20281e+10,6.82957e+10,32478077,6.24862e+07,794595
Freescale1.mtx,static,100,64,4.45892e+10,6.85179e+10,3.23809e+07,62426569,801010
Freescale1.mtx,static,1000,1,2.82886e+10,6.81052e+10,3.22377e+07,6.29357e+07,681457
Freescale1.mtx,static,1000,2,2.84062e+10,68112182675,3.23369e+07,6.32098e+07,727011
Freescale1.mtx,static,1000,4,2.85206e+10,6.81257e+10,3.24469e+07,6.31255e+07,727599
Freescale1.mtx,static,1000,8,28786107929,6.81533e+10,3.21711e+07,6.29908e+07,724332
Freescale1.mtx,static,1000,16,29376711239,6.82043e+10,32523641,6.26356e+07,770669
Freescale1.mtx,static,1000,32,3.22792e+10,6.82933e+10,3.24215e+07,62523715,790253
Freescale1.mtx,static,1000,64,4.27556e+10,6.85123e+10,3.236e+07,6.2502e+07,802614
Freescale1.mtx,static,10000,1,2.82852e+10,6.81052e+10,3.22001e+07,6.28204e+07,683087
