Matrix,Mode,ChunkSize,Threads,Cycles,Instructions,CacheMisses,CacheRefs,LLCMisses
af23560.mtx,seq,NA,1,6.78159e+08,1616344960,206547,829820,7938.2
af23560.mtx,static,1,1,6.78889e+08,1.61636e+09,232410,766629,8600.2
af23560.mtx,static,1,2,684407000,1.61679e+09,291898,820782,9092.2
af23560.mtx,static,1,4,6.87822e+08,1.61724e+09,296997,797933,9728.4
af23560.mtx,static,1,8,6.95659e+08,1.61847e+09,299278,798391,10472
af23560.mtx,static,1,16,7.20376e+08,1.6221e+09,338516,814689,11523.2
af23560.mtx,static,1,32,800661496,1.63387e+09,322434,761660,12793.4
af23560.mtx,static,1,64,1.05196e+09,1670453625,321839,792198,15195.2
af23560.mtx,static,10,1,6.78541e+08,1.61636e+09,181693,824662,7784.2
af23560.mtx,static,10,2,6.81804e+08,1616729045,277663,828429,9164.8
af23560.mtx,static,10,4,6.86959e+08,1.61729e+09,273226,785152,9641
af23560.mtx,static,10,8,6.96735e+08,1.61858e+09,274757,765263,10275.2
af23560.mtx,static,10,16,718933189,1.62187e+09,266448,724987,9861.4
af23560.mtx,static,10,32,7.97977e+08,1.63341e+09,263116,721934,11288.8
af23560.mtx,static,10,64,1.0747e+09,1.67397e+09,311550,783098,14665.4
af23560.mtx,static,100,1,6.79336e+08,1.61636e+09,184921,773368,8406.4
af23560.mtx,static,100,2,6.8339e+08,1.61677e+09,244775,788739,9116.8
af23560.mtx,static,100,4,6.86263e+08,1.61729e+09,261685,787430,8682.2
af23560.mtx,static,100,8,6.95868e+08,1.61847e+09,300389,788454,10236.8
af23560.mtx,static,100,16,7.18775e+08,1.62179e+09,307188,783387,11086.8
af23560.mtx,static,100,32,794853889,1633074201,279479,745392,12242.8
af23560.mtx,static,100,64,1.04617e+09,1669809274,342633,771186,15098.4
af23560.mtx,static,1000,1,678562614,1.61636e+09,219655,840146,8210.8
af23560.mtx,static,1000,2,684161233,1.61678e+09,279623,804529,8880
af23560.mtx,static,1000,4,6.87098e+08,1.61732e+09,284352,740536,9926
af23560.mtx,static,1000,8,694657516,1.61835e+09,268412,744935,9802
af23560.mtx,static,1000,16,7.19945e+08,1.62189e+09,291352,763979,10628
af23560.mtx,static,1000,32,8.02728e+08,1.63412e+09,287992,727997,12544.2
af23560.mtx,static,1000,64,1.05534e+09,1.67116e+09,291388,763388,14617.8
af23560.mtx,static,10000,1,678879374,1616356519,204121,784988,8086.2
af23560.mtx,static,10000,2,6.8327e+08,1.61682e+09,246047,779973,8367.2
af23560.mtx,static,10000,4,6.87523e+08,1.61733e+09,278739,763995,9581.4
af23560.mtx,static,10000,8,6.96427e+08,1.61853e+09,251774,770674,9123
af23560.mtx,static,10000,16,7.2116e+08,1.6223e+09,275393,771091,10752.8
af23560.mtx,static,10000,32,7.96568e+08,1.63326e+09,295487,755783,11926.6
af23560.mtx,static,10000,64,1.05316e+09,1.67067e+09,308523,790749,14736
af23560.mtx,dynamic,1,1,679308813,1.61636e+09,211904,762093,8478
af23560.mtx,dynamic,1,2,682945922,1.61679e+09,252272,809543,8712
af23560.mtx,dynamic,1,4,6.87013e+08,1.61731e+09,274285,796380,9057
af23560.mtx,dynamic,1,8,6.962e+08,1.61843e+09,269287,735575,10124.6
af23560.mtx,dynamic,1,16,7.20024e+08,1622049227,282709,761540,10407.2
af23560.mtx,dynamic,1,32,793072795,1.63281e+09,274157,761572,11532.4
af23560.mtx,dynamic,1,64,1.05586e+09,1.67124e+09,283672,754126,14253
af23560.mtx,dynamic,10,1,6.7893e+08,1616356202,219854,795305,8495.2
af23560.mtx,dynamic,10,2,681758802,1.61675e+09,270572,850104,9114
af23560.mtx,dynamic,10,4,6.86398e+08,1.61729e+09,258921,802094,8992.6
af23560.mtx,dynamic,10,8,6.95889e+08,1.61855e+09,312034,770249,10800.6
af23560.mtx,dynamic,10,16,722835105,1.62233e+09,292160,730624,11153.6
af23560.mtx,dynamic,10,32,8.08346e+08,1.63484e+09,296517,737024,12477.2
af23560.mtx,dynamic,10,64,1.10208e+09,1.67783e+09,290916,752212,14874
af23560.mtx,dynamic,100,1,6.79758e+08,1.61636e+09,196626,809951,7778
af23560.mtx,dynamic,100,2,6.83711e+08,1.6168e+09,263200,782607,9341
af23560.mtx,dynamic,100,4,6.8934e+08,1.61741e+09,248743,788446,9340
af23560.mtx,dynamic,100,8,6.96711e+08,1.61858e+09,259966,759801,9421.8
af23560.mtx,dynamic,100,16,7.22734e+08,1.6223e+09,250638,726733,10560.2
af23560.mtx,dynamic,100,32,8.0185e+08,1.634e+09,264164,710954,11615.6
af23560.mtx,dynamic,100,64,1.04894e+09,1669952731,300998,729901,14799.6
af23560.mtx,dynamic,1000,1,6.79165e+08,1.61636e+09,187104,787365,7895.2
af23560.mtx,dynamic,1000,2,6.82933e+08,1.61677e+09,223523,761621,7767.8
af23560.mtx,dynamic,1000,4,6.88317e+08,1.61736e+09,252627,780431,9610.2
af23560.mtx,dynamic,1000,8,6.97556e+08,1.61867e+09,254030,738069,9782.8
af23560.mtx,dynamic,1000,16,7.18035e+08,1621779930,243709,737930,10401.6
af23560.mtx,dynamic,1000,32,7.96551e+08,1.63317e+09,278168,691390,13087.4
af23560.mtx,dynamic,1000,64,1.04666e+09,1.66983e+09,267516,742029,15057.6
af23560.mtx,dynamic,10000,1,6.79324e+08,1.61636e+09,225454,818897,9107.6
af23560.mtx,dynamic,10000,2,6.84543e+08,1.61673e+09,260377,810353,9560
af23560.mtx,dynamic,10000,4,6.87669e+08,1617352367,268348,789999,9475.4
af23560.mtx,dynamic,10000,8,6.96123e+08,1.61837e+09,277888,768868,9714.2
af23560.mtx,dynamic,10000,16,7.19165e+08,1.62193e+09,270523,741519,10781
af23560.mtx,dynamic,10000,32,7.93802e+08,1.63288e+09,268588,729496,11635.4
af23560.mtx,dynamic,10000,64,1.06174e+09,1.6721e+09,280771,745950,14518.8
af23560.mtx,guided,1,1,678445768,1616356482,186642,813285,7548.6
af23560.mtx,guided,1,2,6.82578e+08,1.61677e+09,243469,777174,8419
af23560.mtx,guided,1,4,6.8776e+08,1.61735e+09,246840,762338,9346.2
af23560.mtx,guided,1,8,6.96663e+08,1.6186e+09,255541,750285,9553
af23560.mtx,guided,1,16,7.18764e+08,1.62186e+09,262497,751482,10114.8
af23560.mtx,guided,1,32,8.03707e+08,1.63424e+09,252818,725794,11437.6
af23560.mtx,guided,1,64,1.07555e+09,1.67411e+09,253986,730590,14123.8
af23560.mtx,guided,10,1,6.79027e+08,1.61636e+09,149382,809727,7753.2
af23560.mtx,guided,10,2,6.83613e+08,1.61679e+09,265557,778665,9387
af23560.mtx,guided,10,4,6.86924e+08,1.61731e+09,256520,785831,9978.8
af23560.mtx,guided,10,8,6.96523e+08,1.61852e+09,264005,757154,9732.6
af23560.mtx,guided,10,16,7.21359e+08,1.62214e+09,252884,758054,10077.6
af23560.mtx,guided,10,32,7.93767e+08,1632905308,263117,727873,12157.8
af23560.mtx,guided,10,64,1.0456e+09,1669475178,278825,749642,14769
af23560.mtx,guided,100,1,6.79226e+08,1.61636e+09,211491,827180,8575.6
af23560.mtx,guided,100,2,6.82615e+08,1.61674e+09,257444,816918,9618.2
af23560.mtx,guided,100,4,686445548,1.61726e+09,250820,807533,9280.6
af23560.mtx,guided,100,8,6.94629e+08,1618354849,249903,752575,9519.2
af23560.mtx,guided,100,16,7.18588e+08,1.62181e+09,267547,742786,9800
af23560.mtx,guided,100,32,7.95582e+08,1632999678,293004,721772,12956
af23560.mtx,guided,100,64,1061105040,1.67178e+09,294171,748286,14997.8
af23560.mtx,guided,1000,1,6.78905e+08,1.61636e+09,197352,809625,7548.6
af23560.mtx,guided,1000,2,6.82617e+08,1.61676e+09,260959,792880,8885.2
af23560.mtx,guided,1000,4,6.86553e+08,1.61733e+09,258444,785791,9221
af23560.mtx,guided,1000,8,6.94788e+08,1.61828e+09,292662,753210,10098
af23560.mtx,guided,1000,16,7.19124e+08,1.62187e+09,296492,769829,11945.4
af23560.mtx,guided,1000,32,793434613,1.63274e+09,279860,750329,12193
af23560.mtx,guided,1000,64,1.06161e+09,1.67205e+09,283239,737494,15064.6
af23560.mtx,guided,10000,1,6.79494e+08,1.61636e+09,226223,808914,9168.6
af23560.mtx,guided,10000,2,6.83179e+08,1.61675e+09,254862,811717,9254.6
af23560.mtx,guided,10000,4,6.86229e+08,1.61723e+09,262167,802264,10240.8
af23560.mtx,guided,10000,8,6.94366e+08,1.61837e+09,273263,772345,9772.4
af23560.mtx,guided,10000,16,7.17743e+08,1.62165e+09,281719,751872,11697.6
af23560.mtx,guided,10000,32,7.96021e+08,1.63316e+09,272532,737841,14123.8
af23560.mtx,guided,10000,64,1052375534,1670444810,249448,738605,14500.4
