Matrix,Mode,ChunkSize,Threads,Cycles,Instructions,CacheMisses,CacheRefs,LLCMisses
atmosmodl.mtx,seq,NA,1,9.96118e+09,2.69951e+10,9.8911e+06,2.48919e+07,160571
atmosmodl.mtx,static,1,1,9960605245,2.69951e+10,1.03658e+07,2.57969e+07,177894
atmosmodl.mtx,static,1,2,10016394078,27000483602,10269439,25945379,197805
atmosmodl.mtx,static,1,4,1.01482e+10,27007172293,9.94044e+06,25513498,168054
atmosmodl.mtx,static,1,8,1.02349e+10,2.702e+10,9.44633e+06,2.49773e+07,151860
atmosmodl.mtx,static,1,16,1.05563e+10,27046760656,9.99612e+06,2.51451e+07,204262
atmosmodl.mtx,static,1,32,1.15593e+10,2.71238e+10,9.66629e+06,2.42378e+07,168129
atmosmodl.mtx,static,1,64,1.8778e+10,2.72908e+10,1.05957e+07,2.53486e+07,218514
atmosmodl.mtx,static,10,1,9944576466,2.69951e+10,10325907,2.61878e+07,190488
atmosmodl.mtx,static,10,2,10017189706,2.70005e+10,9.7082e+06,2.51076e+07,143055
atmosmodl.mtx,static,10,4,1.00746e+10,27007106964,1.02193e+07,2.62166e+07,217412
atmosmodl.mtx,static,10,8,1.02234e+10,2.70205e+10,9.7651e+06,2.53596e+07,168928
atmosmodl.mtx,static,10,16,10619448903,27044310212,1.01213e+07,2.47116e+07,213675
atmosmodl.mtx,static,10,32,11498347674,2.71223e+10,1.03763e+07,2.53559e+07,244410
atmosmodl.mtx,static,10,64,1.82787e+10,27281572034,1.05789e+07,2.51891e+07,184116
atmosmodl.mtx,static,100,1,9.96563e+09,2.69951e+10,9.90958e+06,2.50769e+07,140752
atmosmodl.mtx,static,100,2,1.00043e+10,2.69996e+10,1.05542e+07,2.62045e+07,208750
atmosmodl.mtx,static,100,4,1.00895e+10,2.70071e+10,1.08109e+07,2.53761e+07,210688
atmosmodl.mtx,static,100,8,1.02446e+10,27021157249,1.08714e+07,2.51593e+07,217230
atmosmodl.mtx,static,100,16,10612501088,2.70468e+10,1.12527e+07,2.50609e+07,250608
atmosmodl.mtx,static,100,32,1.17218e+10,2.71127e+10,1.18033e+07,27074062,200690
atmosmodl.mtx,static,100,64,17454460182,2.72598e+10,1.20059e+07,2.81007e+07,161449
atmosmodl.mtx,static,1000,1,9.89028e+09,2.6995e+10,1.16746e+07,2.88871e+07,105013
atmosmodl.mtx,static,1000,2,9920945915,26998305133,1.13698e+07,2.87747e+07,115074
atmosmodl.mtx,static,1000,4,9.98607e+09,2.7002e+10,11474406,2.87707e+07,118003
atmosmodl.mtx,static,1000,8,1.01849e+10,2.70142e+10,1.19114e+07,2.87659e+07,132377
atmosmodl.mtx,static,1000,16,1.04471e+10,2.70367e+10,1.19508e+07,28600017,147761
atmosmodl.mtx,static,1000,32,1.16241e+10,2.71073e+10,1.19743e+07,2.82023e+07,155604
atmosmodl.mtx,static,1000,64,1.93255e+10,2.72791e+10,1.21608e+07,2.74308e+07,193904
atmosmodl.mtx,static,10000,1,9.96329e+09,2.69951e+10,11311887,2.59945e+07,220327
atmosmodl.mtx,static,10000,2,9.98993e+09,26999838070,1.08494e+07,2.67115e+07,164591
atmosmodl.mtx,static,10000,4,1.0037e+10,27007185903,12263378,2.77421e+07,150531
atmosmodl.mtx,static,10000,8,1.02156e+10,2.70234e+10,1.20526e+07,2.78852e+07,141299
atmosmodl.mtx,static,10000,16,1.05689e+10,2.70519e+10,1.22992e+07,2.70682e+07,179623
atmosmodl.mtx,static,10000,32,1.18649e+10,2.7132e+10,12542507,2.69939e+07,193089
atmosmodl.mtx,static,10000,64,1.85696e+10,2.73128e+10,12418712,27115732,194015
atmosmodl.mtx,dynamic,1,1,9.92067e+09,2.6995e+10,1.16505e+07,2.77939e+07,125298
atmosmodl.mtx,dynamic,1,2,9.96028e+09,2.69995e+10,1.12186e+07,2.75225e+07,126677
atmosmodl.mtx,dynamic,1,4,1.00566e+10,2.70081e+10,1.16709e+07,2.71142e+07,153620
atmosmodl.mtx,dynamic,1,8,1.02193e+10,2.70202e+10,11103323,2.78255e+07,136078
atmosmodl.mtx,dynamic,1,16,1.0595e+10,27049232625,1.12578e+07,2.57489e+07,191817
atmosmodl.mtx,dynamic,1,32,1.17012e+10,27127176414,1.0812e+07,2.49936e+07,198011
atmosmodl.mtx,dynamic,1,64,2.0241e+10,27391627746,1.16128e+07,25327392,273875
atmosmodl.mtx,dynamic,10,1,9964460974,2.69951e+10,10851424,2.55152e+07,187346
atmosmodl.mtx,dynamic,10,2,9998544595,26998301461,1.07968e+07,2.52653e+07,193495
atmosmodl.mtx,dynamic,10,4,1.00843e+10,2.70081e+10,1.09716e+07,2.56241e+07,242660
atmosmodl.mtx,dynamic,10,8,1.02658e+10,2.7022e+10,1.09552e+07,2.59305e+07,198666
atmosmodl.mtx,dynamic,10,16,1.06349e+10,2.70531e+10,1.05277e+07,2.47988e+07,231188
atmosmodl.mtx,dynamic,10,32,1.16139e+10,2.71246e+10,1.06926e+07,2.49204e+07,205819
atmosmodl.mtx,dynamic,10,64,1.93486e+10,2.73016e+10,1.10952e+07,2.48677e+07,247597
atmosmodl.mtx,dynamic,100,1,9984128879,26995095561,1.09746e+07,2.55095e+07,210661
