Matrix,Mode,ChunkSize,Threads,Cycles,Instructions,CacheMisses,CacheRefs,LLCMisses
tmt_unsym.mtx,seq,NA,1,6.1481e+09,1.64223e+10,4.27053e+06,10111975,98284
tmt_unsym.mtx,static,1,1,6131063537,1.64223e+10,4.26365e+06,10076381,97926.6
tmt_unsym.mtx,static,1,2,6181835460,1.64235e+10,4.36084e+06,1.0093e+07,107158
tmt_unsym.mtx,static,1,4,6.2087e+09,16424438896,4.14412e+06,1.00609e+07,108076
tmt_unsym.mtx,static,1,8,6.26852e+09,16427274761,4229386,9960413,111407
tmt_unsym.mtx,static,1,16,6.43442e+09,1.64342e+10,4181721,9958927,111353
tmt_unsym.mtx,static,1,32,6.92328e+09,16454901332,4.14036e+06,9.9145e+06,111074
tmt_unsym.mtx,static,1,64,1.03378e+10,1.6586e+10,4.15453e+06,9.85034e+06,115235
tmt_unsym.mtx,static,10,1,6136875151,16422335653,4262852,1.00711e+07,97379
tmt_unsym.mtx,static,10,2,6.19719e+09,16423486751,4.37822e+06,1.00673e+07,106869
tmt_unsym.mtx,static,10,4,6.20335e+09,1.64248e+10,4.21033e+06,1.00842e+07,108155
tmt_unsym.mtx,static,10,8,6.261e+09,1.6427e+10,4.18554e+06,1.00395e+07,108917
tmt_unsym.mtx,static,10,16,6.48017e+09,1.64363e+10,4.25488e+06,9888636,116193
tmt_unsym.mtx,static,10,32,7.1758e+09,1.64674e+10,4.10088e+06,9872330,113171
tmt_unsym.mtx,static,10,64,1.23096e+10,1.66787e+10,4.16292e+06,9.81658e+06,118562
tmt_unsym.mtx,static,100,1,6.14772e+09,1.64223e+10,4.24907e+06,1.00588e+07,99677.6
tmt_unsym.mtx,static,100,2,6.1682e+09,1.64234e+10,4.35359e+06,1.01974e+07,107708
tmt_unsym.mtx,static,100,4,6.20732e+09,1.64247e+10,4.20465e+06,1.00343e+07,109080
tmt_unsym.mtx,static,100,8,6.27549e+09,1.64274e+10,4.16884e+06,1.00179e+07,108340
tmt_unsym.mtx,static,100,16,6.47172e+09,1.64353e+10,4.24775e+06,9.92077e+06,115285
tmt_unsym.mtx,static,100,32,7.06997e+09,1.64622e+10,4.12144e+06,9.79654e+06,111548
tmt_unsym.mtx,static,100,64,1.18831e+10,1.66606e+10,4.14415e+06,9.74878e+06,115043
tmt_unsym.mtx,static,1000,1,6.13564e+09,1.64223e+10,4266833,9.96328e+06,99737.8
tmt_unsym.mtx,static,1000,2,6.18173e+09,16423603757,4.35909e+06,10121867,107392
tmt_unsym.mtx,static,1000,4,6.21342e+09,16424624350,4.23105e+06,1.01158e+07,108627
tmt_unsym.mtx,static,1000,8,6269465138,1.64273e+10,4.17136e+06,9.72207e+06,107308
