Matrix,Mode,ChunkSize,Threads,Cycles,Instructions,CacheMisses,CacheRefs,LLCMisses
twotone.mtx,seq,NA,1,1.3386e+09,3.42697e+09,470976,2504787,11459.4
twotone.mtx,static,1,1,1.33666e+09,3.42698e+09,449077,2.50475e+06,11950.2
twotone.mtx,static,1,2,1.34413e+09,3.42722e+09,567059,2526871,14362.8
twotone.mtx,static,1,4,1.35236e+09,3.42746e+09,613574,2.4754e+06,17791
twotone.mtx,static,1,8,1.36304e+09,3.42805e+09,605909,2.46287e+06,21074.2
twotone.mtx,static,1,16,1.40396e+09,3.4299e+09,633371,2.40657e+06,24367.2
twotone.mtx,static,1,32,1.59754e+09,3.43917e+09,582058,2.34571e+06,21588.4
twotone.mtx,static,1,64,6167164354,3.65736e+09,605103,2.27182e+06,24694.8
twotone.mtx,static,10,1,1.3367e+09,3.42698e+09,439823,2536575,11105.4
twotone.mtx,static,10,2,1.34428e+09,3.42724e+09,569734,2512049,13680
twotone.mtx,static,10,4,1353486622,3427469735,602980,2.51825e+06,17207.6
twotone.mtx,static,10,8,1.36562e+09,3.42805e+09,624851,2.48795e+06,21057.6
twotone.mtx,static,10,16,1.40615e+09,3.43005e+09,631807,2.43677e+06,22858.8
twotone.mtx,static,10,32,1544035996,3.43662e+09,583991,2.33627e+06,22142
twotone.mtx,static,10,64,4.05485e+09,3.5563e+09,603825,2.26281e+06,24653.8
twotone.mtx,static,100,1,1.33822e+09,3.42698e+09,452752,2.5196e+06,11229.6
twotone.mtx,static,100,2,1.34473e+09,3.42723e+09,567652,2.49448e+06,13983.8
twotone.mtx,static,100,4,1349874788,3.42744e+09,607815,2489507,17112.8
twotone.mtx,static,100,8,1.3643e+09,3.42811e+09,611740,2.48019e+06,21101.8
twotone.mtx,static,100,16,1.4037e+09,3.42991e+09,622512,2421780,23157
twotone.mtx,static,100,32,1.55467e+09,3.43708e+09,600312,2.33457e+06,23113.6
twotone.mtx,static,100,64,6.29776e+09,3.6636e+09,602158,2.304e+06,24068.4
twotone.mtx,static,1000,1,1.33716e+09,3.42698e+09,450490,2.50535e+06,11581.8
twotone.mtx,static,1000,2,1.34355e+09,3.42721e+09,564793,2.53852e+06,14768
twotone.mtx,static,1000,4,1.3497e+09,3.42744e+09,612305,2.49138e+06,17340.2
twotone.mtx,static,1000,8,1366048086,3.42805e+09,630735,2.48758e+06,21188.4
twotone.mtx,static,1000,16,1.40029e+09,3.42976e+09,606282,2.42526e+06,22593.4
twotone.mtx,static,1000,32,1.55876e+09,3437178898,587408,2350978,22461.2
twotone.mtx,static,1000,64,7837612158,3.73721e+09,583829,2.27321e+06,23533
twotone.mtx,static,10000,1,1.33696e+09,3426977066,442802,2491791,11399.2
twotone.mtx,static,10000,2,1.34355e+09,3.42721e+09,611609,2.52089e+06,16488.6
twotone.mtx,static,10000,4,1.35003e+09,3.42747e+09,613395,2.51364e+06,17614
twotone.mtx,static,10000,8,1.36373e+09,3.42803e+09,631739,2.42067e+06,21249.8
twotone.mtx,static,10000,16,1.40526e+09,3.42995e+09,603362,2.43727e+06,22610.6
twotone.mtx,static,10000,32,1.54727e+09,3.43675e+09,617192,2.35148e+06,23876.8
twotone.mtx,static,10000,64,6.78264e+09,3.68667e+09,593571,2.29604e+06,23680.6
twotone.mtx,dynamic,1,1,1337290810,3426977006,453750,2.4617e+06,11476.8
twotone.mtx,dynamic,1,2,1.34434e+09,3.42723e+09,561935,2.54872e+06,13947.2
twotone.mtx,dynamic,1,4,1.34873e+09,3.42744e+09,592107,2.47285e+06,17434.6
twotone.mtx,dynamic,1,8,1.3637e+09,3.42802e+09,624720,2468928,21177.2
twotone.mtx,dynamic,1,16,1.40677e+09,3.43e+09,612270,2425527,22930.8
twotone.mtx,dynamic,1,32,1.78528e+09,3.4481e+09,587310,2.35256e+06,21745.8
twotone.mtx,dynamic,1,64,5.6295e+09,3.63153e+09,594922,2.25812e+06,24364.4
