Matrix,Mode,ChunkSize,Threads,Time_ms
af23560.mtx,seq,NA,1,0.297070
af23560.mtx,static,1,1,0.303984
af23560.mtx,static,1,2,1.268148
af23560.mtx,static,1,4,1.260996
af23560.mtx,static,1,8,1.309872
af23560.mtx,static,1,16,1.543999
af23560.mtx,static,1,32,1.658916
af23560.mtx,static,1,64,1.106977
af23560.mtx,static,10,1,0.385046
af23560.mtx,static,10,2,0.356913
af23560.mtx,static,10,4,0.360012
af23560.mtx,static,10,8,0.397205
af23560.mtx,static,10,16,0.304937
af23560.mtx,static,10,32,0.612974
af23560.mtx,static,10,64,0.792027
af23560.mtx,static,100,1,0.269890
af23560.mtx,static,100,2,0.262022
af23560.mtx,static,100,4,0.241041
af23560.mtx,static,100,8,0.307083
af23560.mtx,static,100,16,0.329971
af23560.mtx,static,100,32,0.277042
af23560.mtx,static,100,64,0.756025
af23560.mtx,static,1000,1,0.360012
af23560.mtx,static,1000,2,0.429153
af23560.mtx,static,1000,4,0.273943
af23560.mtx,static,1000,8,0.292063
af23560.mtx,static,1000,16,0.477076
af23560.mtx,static,1000,32,0.679970
af23560.mtx,static,1000,64,0.766039
af23560.mtx,dynamic,1,1,2.128839
af23560.mtx,dynamic,1,2,1.963139
af23560.mtx,dynamic,1,4,1.761913
af23560.mtx,dynamic,1,8,2.428055
af23560.mtx,dynamic,1,16,1.971006
af23560.mtx,dynamic,1,32,1.955986
af23560.mtx,dynamic,1,64,2.259970
af23560.mtx,dynamic,10,1,0.446796
af23560.mtx,dynamic,10,2,0.467062
af23560.mtx,dynamic,10,4,0.450134
af23560.mtx,dynamic,10,8,0.406981
af23560.mtx,dynamic,10,16,0.473976
af23560.mtx,dynamic,10,32,0.591040
af23560.mtx,dynamic,10,64,0.761986
af23560.mtx,dynamic,100,1,0.293016
af23560.mtx,dynamic,100,2,0.508785
af23560.mtx,dynamic,100,4,0.399113
af23560.mtx,dynamic,100,8,0.233173
af23560.mtx,dynamic,100,16,0.356197
af23560.mtx,dynamic,100,32,0.414848
af23560.mtx,dynamic,100,64,2.621889
af23560.mtx,dynamic,1000,1,0.389814
af23560.mtx,dynamic,1000,2,0.293016
af23560.mtx,dynamic,1000,4,0.618935
af23560.mtx,dynamic,1000,8,0.198126
af23560.mtx,dynamic,1000,16,0.338078
af23560.mtx,dynamic,1000,32,0.453949
af23560.mtx,dynamic,1000,64,0.921965
af23560.mtx,guided,1,1,0.308990
af23560.mtx,guided,1,2,0.249147
af23560.mtx,guided,1,4,0.267029
af23560.mtx,guided,1,8,0.249863
af23560.mtx,guided,1,16,0.345945
af23560.mtx,guided,1,32,0.427008
af23560.mtx,guided,1,64,0.854015
af23560.mtx,guided,10,1,0.298977
af23560.mtx,guided,10,2,0.238180
af23560.mtx,guided,10,4,0.214100
af23560.mtx,guided,10,8,0.308990
af23560.mtx,guided,10,16,0.325918
af23560.mtx,guided,10,32,0.455856
af23560.mtx,guided,10,64,0.839949
af23560.mtx,guided,100,1,0.338793
af23560.mtx,guided,100,2,0.470877
af23560.mtx,guided,100,4,0.322104
af23560.mtx,guided,100,8,0.287056
af23560.mtx,guided,100,16,0.347853
af23560.mtx,guided,100,32,0.360012
af23560.mtx,guided,100,64,0.942945
af23560.mtx,guided,1000,1,0.272036
af23560.mtx,guided,1000,2,0.345945
af23560.mtx,guided,1000,4,0.245094
af23560.mtx,guided,1000,8,0.198126
af23560.mtx,guided,1000,16,0.456095
af23560.mtx,guided,1000,32,0.406981
af23560.mtx,guided,1000,64,0.899076
